[2025-08-14 16:24:05,556: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 16:24:39,073: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 16:24:39,094: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 16:28:07,418: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 16:28:07,422: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 16:29:52,806: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 16:29:52,812: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 16:31:29,295: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 16:31:29,302: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 16:31:29,305: INFO: common: created directory at: artifacts]
[2025-08-14 16:31:29,308: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-14 16:31:29,310: INFO: 986331348: Downloading data from https://drive.google.com/file/d/19PEaJ6-AP8I4m3WOumNLZwWSAvuJJ-aw/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-14 16:31:44,920: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/19PEaJ6-AP8I4m3WOumNLZwWSAvuJJ-aw/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-14 17:03:01,358: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-08-14 17:03:01,361: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-14 17:03:01,364: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-14 17:03:01,366: INFO: common: created directory at: artifacts]
[2025-08-14 17:03:01,367: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-14 17:03:01,367: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/19PEaJ6-AP8I4m3WOumNLZwWSAvuJJ-aw/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-14 17:03:16,601: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/19PEaJ6-AP8I4m3WOumNLZwWSAvuJJ-aw/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-14 17:03:17,727: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
